,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
ENSG00000102390.6,3027.482,-0.1074393,0.08875128,-1.210566,0.2260619,0.5425322,NA
ENSG00000227514.3,1.318004,-0.2004185,0.4459042,-0.4494653,0.653096,NA,NA
ENSG00000271670.1,380.5066,-0.03769481,0.138445,-0.2722729,0.7854122,0.9232985,NA
ENSG00000227189.2,10.69839,-0.7210804,0.37014,-1.948129,0.05139957,0.2482351,NA
ENSG00000234513.1,58.83503,0.4326616,0.2660503,1.62624,0.1038987,0.3691698,NA
ENSG00000101216.6,12064.84,-0.2152922,0.1736576,-1.239751,0.2150674,0.5307176,NA
ENSG00000228665.2,167.7047,0.4950658,0.1502965,3.293928,0.0009879787,0.02483621,NA
ENSG00000121481.6,2242.615,-0.2973425,0.1040821,-2.856806,0.004279278,0.05912368,NA
ENSG00000114054.9,5530.549,-0.0108326,0.05153508,-0.2101986,0.8335127,0.9429014,NA
ENSG00000131779.6,6663.807,0.2529583,0.10209,2.477796,0.01321966,0.1139518,NA
ENSG00000178082.5,925.6476,0.1239103,0.1308162,0.9472096,0.343532,0.6595785,NA
ENSG00000235236.1,104.0564,0.1157946,0.1012206,1.143982,0.2526312,0.5720697,NA
ENSG00000253604.1,0.009847985,-0.0845915,3.287633,-0.02573022,0.9794725,NA,NA
ENSG00000271219.1,0.03703483,-0.1839799,3.287633,-0.05596122,0.9553727,NA,NA
ENSG00000265799.1,0.2617607,0.3478537,3.287598,0.1058079,0.9157348,NA,NA
ENSG00000213338.3,45.7196,-0.08421515,0.1495319,-0.563192,0.5733041,0.8190329,NA
ENSG00000172869.10,41111.51,0.01801195,0.08060906,0.2234482,0.8231867,0.9395025,NA
ENSG00000206650.1,0.6911565,0.3137925,0.9210841,0.3406774,0.7333465,NA,NA
ENSG00000236377.1,1.472977,0.440334,0.5952715,0.7397197,0.4594701,NA,NA
ENSG00000236795.1,0.1034299,-0.5952947,2.831992,-0.2102036,0.8335088,NA,NA
ENSG00000176761.6,91.81203,0.07886091,0.1558549,0.5059893,0.6128642,0.8416377,NA
ENSG00000225323.1,0.03410231,-0.4530954,3.287633,-0.1378181,0.8903842,NA,NA
ENSG00000232429.3,1.082262,0.1751102,0.5173687,0.3384632,0.7350142,NA,NA
ENSG00000169689.10,1724.105,-0.07162298,0.08377775,-0.8549164,0.3925974,0.6990227,NA
ENSG00000225741.1,36.30905,0.04410356,0.3867026,0.1140503,0.9091979,0.9703742,NA
ENSG00000104974.6,216.2789,0.5400325,0.50318,1.073239,0.2831638,0.6031355,NA
ENSG00000220745.2,0.07566098,0.1982911,2.930754,0.06765872,0.9460573,NA,NA
ENSG00000203435.2,16.71742,-0.09377906,0.5584632,-0.1679234,0.8666435,0.9548233,NA
ENSG00000174529.6,121.5896,-0.04770441,0.144545,-0.3300316,0.7413761,0.9027716,NA
ENSG00000255886.1,0.01544497,-0.0845915,3.287633,-0.02573022,0.9794725,NA,NA
ENSG00000256944.1,0.7786508,-0.1124732,0.8278145,-0.1358676,0.8919259,NA,NA
ENSG00000008324.6,2683.92,0.02029287,0.09229793,0.2198627,0.8259781,0.9403976,NA
ENSG00000168992.3,2.625876,-0.7283854,0.6053516,-1.203244,0.2288821,0.5456728,NA
ENSG00000185638.9,0.008676064,-0.2971313,3.287633,-0.09037848,0.9279865,NA,NA
ENSG00000249400.1,0.05278448,-0.3399441,3.287633,-0.1034009,0.9176448,NA,NA
ENSG00000242791.2,4.79386,-0.1318848,0.512053,-0.2575609,0.7967458,0.927464,NA
ENSG00000254893.3,7556.697,-0.2437261,0.1294267,-1.88312,0.0596841,0.2693479,NA
