"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL27P7",1.86315609832038,0.0103665015890604,0.0177506550158854,0.584006707345909,0.559215799400184,NA
"RPS15AP12",22.4020599177454,0.000159697729368214,0.00528515752226047,0.0302162667234772,0.975894575485637,0.998927818173645
"SMIM27",1075.35856378781,-0.00323151357853069,0.00277302433448708,-1.16533906260452,0.243881773124005,0.875014746283367
"BRD7P5",10.8866916496397,0.0085206798164333,0.00779667865637037,1.09286020265455,0.274455184065609,0.883282382811226
"C1orf68",0.0730371825303767,-0.00434429741845749,0.134141888022375,-0.03238583773126,0.974164356417925,NA
"LOC100129276",0.0685001252117002,-0.0176733111718469,0.134134453900064,-0.131758177395751,0.895175567673028,NA
"TDRD15",336.387281949527,-0.0090403056634158,0.133487022687505,-0.0677242287782482,NA,NA
"RPS15AP39",2.92426128580061,-0.00455957275731054,0.0148264435414091,-0.307529768995241,0.758440167737355,0.985266152607803
"MORF4L1P5",3.26953210065988,0.00517352648044053,0.0146318290475423,0.353580298377634,0.72365344138147,0.982261089310152
"RPL31P14",0.14405955277726,0.0170274689410648,0.0792119352465777,0.214960900627667,0.82979780270619,NA
"HMGB3P10",0.111549510181809,-0.0171053647883572,0.109626976566247,-0.156032441321781,0.876007449909481,NA
"HNRNPA1P64",0.442498121021227,-0.00487470230365491,0.035305994235888,-0.138070104217596,0.890185012828659,NA
"EIF4BP2",49.5362806136136,0.00250534452315167,0.00428697789708113,0.584408080306988,0.558945791673486,0.959479450807761
"LOC100129344",0.149987667738814,-0.00201783787445823,0.122299933140584,-0.0164990922124112,0.986836226299673,NA
"LINC00484",1.15433698262195,0.0387762955429674,0.0519913029848136,0.745822730280365,0.455774507134053,NA
"SMIM10L1",43.0502978627269,-0.00114655608203991,0.00495656115251813,-0.231320878883419,0.817065527501717,0.991434068048719
"LOC100129367",0.147689455682447,-0.037776938551388,0.134102179052367,-0.281702645090025,0.778171526111116,NA
"HNRNPH1P2",1.77313565315506,-0.00378814154591669,0.0171625036816305,-0.220721965523669,0.825308927226241,NA
"RPL18P3",27.0393958525837,-0.0143098120530655,0.0067116526954016,-2.13208470439326,0.0329998838127498,0.587368105966045
"LPGAT1P1",0.320501739299158,0.00608634639659046,0.0504528145214322,0.120634427520491,0.903980598749284,NA
"EEF1GP4",0.994988131417546,-0.00152774146212326,0.0230824164791091,-0.0661863745291117,0.947229444538129,NA
"RPL31P16",0.122336907758911,-0.0107461975595746,0.134136169959948,-0.0801140927371293,0.936146514392361,NA
"LOC100129422",1.38792778481441,-0.0104535169992693,0.0198410020726835,-0.526864367080601,0.598287780169326,NA
