"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STS",517.38075523197,-0.598398066132447,0.112270723452936,-5.32995644570954,9.82363229671713e-08,3.49384080594735e-05
"RTL5",166.359205912595,-1.4286555461497,0.283936557275614,-5.03160128395484,4.86400027708476e-07,0.000170447445003901
"RPS4XP13",151.855557947072,-0.416737231517833,0.083596697800492,-4.98509202495532,6.19323287831622e-07,0.000213881951097677
"ARHGEF35",71.744800919929,1.84960665198721,0.374655745660032,4.93681645994444,7.94081378665933e-07,0.000270316645317579
"TRPC5OS",51.1397787259726,-2.36919268011723,0.491937075647408,-4.81604822527207,1.46429148944505e-06,0.000489230556819303
"SYAP1",9447.73193799323,-0.778058397953802,0.161618817805747,-4.81415721583218,1.47822401657601e-06,0.000489230556819303
"ITGB2.AS1",2593.62698502582,1.12729029378825,0.249583087466564,4.5166934395716,6.28127374656859e-06,0.00205036263160251
"RPS4XP3",227.524739321045,-0.419299829317981,0.092951637074188,-4.51094614916059,6.4539105202732e-06,0.002078246402535
"HBA2",2246.54865128067,-1.99583121241653,0.4497103344853,-4.43803724168534,9.07829143578434e-06,0.0028843547549774
"LOC107985433",35.9190899196514,1.56303111909874,0.353040039162149,4.42734802207759,9.53987436020226e-06,0.00299112718591131
"IFIT3",225.181589846212,-1.18926284498517,0.268925485848152,-4.42227645786121,9.76663765760581e-06,0.00302245725640375
"LOC101926892",6.24157764443172,5.25761872608302,1.20312999015883,4.36995068620052,1.24274598380148e-05,0.00379658898051351
"HBA1",1078.71975708808,-1.93102714675491,0.442697789058496,-4.36195344652999,1.28906302531546e-05,0.00385352505847333
"LSMEM1",355.408960594748,-0.54814645704958,0.125688122189323,-4.36116354912132,1.29372615165499e-05,0.00385352505847333
"RPS4Y1P1",0.922234413844997,2.13939011749038,0.491932287448406,4.34895243121191,1.36789376125222e-05,0.00402414079467644
"HBB",11314.5399770276,-2.02246998301469,0.466591389543675,-4.3345634496013,1.4604966042109e-05,0.00424416750996849
"IGKV3.11",255.26419616286,-1.59714281960015,0.368829469399157,-4.33030154071468,1.48905294637838e-05,0.00427501718786148
"TRPV3",804.255317695289,-1.35744899934039,0.317492828189811,-4.27552649639333,1.90686119525364e-05,0.00540935659782131
"IFIT1",151.715770112969,-1.03014215704543,0.241570258027404,-4.2643583918703,2.004774391441e-05,0.00562020811454678
"IGHV1.3",114.599440316127,2.0032245009038,0.470617889175699,4.25658383792529,2.07574219715084e-05,0.00575149544371016
